IDN4,obec,populace,centroid-lat,centroid-lon,obec_code,víťaz,Danko,Dubovský,Forró,Harabin,Korčok,Kotleba,Kubiš,Matovič,Náhlik,Pellegrini,Švec
504386,Hradište pod Vrátnom,672,48.6252603,17.4916382,504386.0,Pellegrini,0.0,0.32,0.0,8.77,39.61,0.32,1.3,5.84,0.32,43.51,0.0
504394,Chropov,382,48.7901753,17.3520955,504394.0,Korčok,0.0,0.0,0.0,17.13,40.88,1.1,1.1,5.52,0.0,34.25,0.0
504408,Chvojnica (MY),346,48.7983675,17.4035039,504408.0,Pellegrini,0.0,0.0,0.0,11.26,41.06,0.0,1.32,2.65,0.0,43.71,0.0
504416,Jablonica,2258,48.6005467,17.4333448,504416.0,Pellegrini,0.0,0.73,0.0,11.31,37.17,0.42,1.68,2.83,0.21,45.65,0.0
504424,Jablonka,470,48.728175,17.6143612,504424.0,Korčok,0.81,0.41,0.0,26.02,36.18,0.81,4.07,1.22,1.22,29.27,0.0
504432,Kátov,624,48.8349385,17.1691145,504432.0,Korčok,0.0,0.35,0.0,16.61,46.64,1.06,0.35,2.83,0.0,32.16,0.0
504459,Kopčany,2555,48.7769281,17.1072815,504459.0,Pellegrini,0.1,0.21,0.0,12.27,39.19,0.31,0.42,3.22,0.1,43.97,0.21
504467,Košariská,415,48.666959,17.6072846,504467.0,Korčok,0.0,0.0,0.0,12.39,43.59,0.0,1.28,2.14,0.0,40.6,0.0
504475,Koválov,693,48.7094478,17.2820631,504475.0,Korčok,0.0,0.91,0.0,9.76,53.96,0.61,2.44,3.35,0.0,28.96,0.0
504483,Koválovec,144,48.7958723,17.3188391,504483.0,Korčok,0.0,2.78,1.39,16.67,43.06,1.39,0.0,0.0,0.0,34.72,0.0
504491,Kuklov,789,48.6295685,17.0798389,504491.0,Pellegrini,0.0,0.95,0.0,12.32,33.65,0.47,0.0,3.32,0.0,49.29,0.0
504513,Kúty,4036,48.6562882,17.008497,504513.0,Korčok,0.07,1.01,0.07,8.9,64.32,0.56,1.01,1.27,0.3,22.44,0.04
504521,Lakšárska Nová Ves,1130,48.5763389,17.1659796,504521.0,Korčok,0.21,1.92,0.43,16.67,38.68,1.28,2.78,2.56,0.0,35.47,0.0
504530,Letničie,500,48.7079307,17.18092,504530.0,Pellegrini,0.0,0.8,0.4,12.35,38.25,0.4,1.2,5.18,0.0,41.04,0.4
504548,Lopašov,332,48.7561829,17.3252401,504548.0,Korčok,0.0,0.0,0.0,8.11,79.46,0.0,0.0,2.16,0.54,9.19,0.54
504556,Malé Leváre,1510,48.504772,16.9560127,504556.0,Korčok,0.0,0.28,0.0,13.6,46.7,1.12,1.68,2.52,0.14,33.94,0.0
504564,Mokrý Háj,729,48.8082326,17.2506881,504564.0,Korčok,0.31,1.83,0.0,9.17,43.43,1.83,4.89,3.67,0.0,34.86,0.0
504572,Moravský Svätý Ján,2150,48.5721556,16.9864744,504572.0,Korčok,0.0,0.69,0.1,12.86,53.41,0.59,2.08,2.18,0.0,28.09,0.0
504581,Myjava,10985,48.7501837,17.535974,504581.0,Korčok,0.12,0.22,0.06,10.56,45.26,0.49,2.87,1.81,0.14,38.35,0.1
504599,Oreské (SI),395,48.7439029,17.3039643,504599.0,Korčok,0.0,1.0,0.0,3.98,70.15,0.0,4.98,3.48,0.0,15.92,0.5
504602,Osuské,609,48.638985,17.4518225,504602.0,Korčok,0.0,0.49,0.0,8.29,41.95,1.46,2.44,4.88,0.49,39.51,0.49
504611,Petrova Ves,1082,48.724344,17.1636738,504611.0,Korčok,0.2,0.41,0.0,12.09,50.82,0.82,1.43,3.69,0.41,30.12,0.0
504629,Plavecké Podhradie,698,48.4810067,17.2736653,504629.0,Korčok,0.0,1.29,1.03,10.34,46.77,0.26,3.1,1.81,0.0,35.4,0.0
504637,Plavecký Mikuláš,740,48.5095061,17.3008556,504637.0,Pellegrini,0.24,0.0,0.0,11.72,39.23,0.96,0.96,1.67,0.0,45.22,0.0
504645,Plavecký Peter,608,48.5341099,17.3239703,504645.0,Pellegrini,0.0,4.1,0.0,12.63,29.01,0.34,1.02,5.46,0.34,47.1,0.0
504653,Podbranč,621,48.7316779,17.4552627,504653.0,Pellegrini,0.0,0.6,0.0,12.91,37.24,1.5,4.5,2.7,0.6,39.94,0.0
504661,Polianka,396,48.7190721,17.5810385,504661.0,Pellegrini,0.0,0.55,0.0,14.36,37.02,1.1,1.66,1.66,0.0,43.65,0.0
504670,Popudinské Močidľany,963,48.7842966,17.216975,504670.0,Korčok,0.25,0.25,0.0,12.94,52.79,1.27,1.52,4.31,0.25,26.4,0.0
504688,Poriadie,682,48.7790135,17.6089881,504688.0,Korčok,0.0,0.0,0.27,10.99,55.76,0.8,2.41,0.8,0.54,28.15,0.27
504696,Priepasné,354,48.6928353,17.5838844,504696.0,Pellegrini,0.56,0.0,0.0,17.42,36.52,1.69,2.81,2.25,0.0,38.76,0.0
504700,Prietrž,753,48.6852855,17.4555486,504700.0,Pellegrini,0.0,0.27,0.0,12.47,36.86,0.0,2.71,1.63,0.54,45.53,0.0
504718,Prietržka,538,48.8065979,17.2078912,504718.0,Korčok,0.0,1.39,0.35,10.45,61.32,1.05,2.79,2.44,0.35,19.86,0.0
504726,Prievaly,985,48.55986,17.346421,504726.0,Pellegrini,0.0,0.42,0.0,6.95,39.79,1.05,1.26,4.21,0.0,46.32,0.0
504734,Radimov,535,48.7551161,17.2059475,504734.0,Korčok,0.79,0.79,0.4,15.08,46.83,0.79,0.4,2.38,0.79,31.75,0.0
504742,Radošovce (SI),1778,48.7725927,17.2771676,504742.0,Korčok,0.12,2.84,0.0,9.46,55.44,0.71,1.77,3.31,0.12,26.12,0.12
504769,Rohožník (MA),3616,48.4396114,17.1952463,504769.0,Korčok,0.07,0.42,0.0,12.67,43.52,1.13,1.7,1.98,0.07,38.15,0.28
504777,Rovensko,434,48.7172774,17.373437,504777.0,Korčok,0.0,0.0,0.0,9.09,56.52,0.79,1.98,4.74,0.4,26.48,0.0
504793,Rudník (MY),817,48.7573761,17.6268071,504793.0,Pellegrini,0.0,0.25,0.0,17.77,37.06,0.76,4.57,1.02,0.25,38.32,0.0
504815,Skalica,15573,48.8382008,17.2565834,504815.0,Korčok,0.09,0.32,0.08,9.55,56.68,0.53,2.01,2.54,0.12,27.97,0.11
504823,Smolinské,903,48.6829083,17.1176536,504823.0,Korčok,0.23,1.15,0.0,12.39,45.41,0.0,0.46,2.98,0.0,37.39,0.0
504831,Smrdáky,584,48.7234243,17.3059657,504831.0,Korčok,0.29,0.87,0.0,15.45,40.23,0.29,1.75,2.33,0.0,38.78,0.0
504840,Sobotište,1424,48.7466614,17.4154783,504840.0,Korčok,0.0,0.66,0.0,8.73,53.44,0.4,1.19,1.32,0.26,33.86,0.13
504858,Sološnica,1671,48.4615525,17.2367502,504858.0,Korčok,0.13,1.03,0.13,9.43,46.51,0.65,1.42,3.1,0.13,37.34,0.13
504866,Stará Myjava,762,48.8079964,17.5966982,504866.0,Korčok,0.44,0.67,0.0,12.86,48.12,0.44,4.21,1.11,0.0,32.15,0.0
504874,Studienka,1685,48.5291874,17.1308772,504874.0,Korčok,0.25,0.74,0.0,13.6,43.76,0.25,1.61,1.85,0.37,37.21,0.37
504882,Šajdíkove Humence,1089,48.6520276,17.2891417,504882.0,Korčok,0.2,0.2,0.61,10.95,44.42,1.01,1.42,4.46,0.0,36.11,0.61
504891,Šaštín-Stráže,4979,48.6361456,17.1440087,504891.0,Pellegrini,0.0,1.01,0.11,13.59,36.63,0.95,0.95,2.18,0.11,44.41,0.06
504904,Štefanov,1638,48.6768453,17.2004382,504904.0,Pellegrini,0.0,0.64,0.32,12.22,35.21,0.96,0.8,2.89,0.16,46.46,0.32
504912,Trnovec,285,48.7955673,17.1895068,504912.0,Korčok,0.0,1.35,0.68,13.51,50.0,0.0,2.03,4.05,0.68,27.7,0.0
504939,Unín,1206,48.7258795,17.2219069,504939.0,Korčok,0.35,1.4,0.18,11.23,46.14,1.75,1.93,2.81,0.7,33.51,0.0
504947,Veľké Leváre,3719,48.5072991,17.0028456,504947.0,Korčok,0.07,0.61,0.2,11.3,43.98,0.41,1.63,1.84,0.07,39.89,0.0
504963,Vrádište,852,48.8262983,17.1953358,504963.0,Korčok,0.0,1.05,0.0,12.34,45.41,0.52,1.31,3.41,0.0,35.7,0.26
504971,Vrbovce,1450,48.8005352,17.4702464,504971.0,Pellegrini,0.0,1.02,0.0,11.76,38.9,1.16,2.18,1.02,0.29,43.4,0.29
504980,Závod,2978,48.5452539,17.0512566,504980.0,Pellegrini,0.0,1.09,0.08,13.89,34.76,0.42,1.6,1.77,0.34,45.88,0.17
504998,Topoľčany,25249,48.5765633,18.1698474,504998.0,Pellegrini,0.08,0.39,0.06,13.93,33.86,0.38,1.73,1.93,0.08,47.42,0.13
505021,Lipovník (TO),315,48.5743605,18.0090366,505021.0,Pellegrini,0.0,1.21,0.0,23.03,23.64,0.0,3.64,3.03,0.0,44.85,0.61
505048,Ludanice,1794,48.5048101,18.1118488,505048.0,Pellegrini,0.0,1.57,0.13,12.92,25.72,0.65,1.57,1.83,0.26,55.22,0.13
505056,Ľutov,174,48.7889042,18.2880465,505056.0,Pellegrini,0.0,0.0,0.0,18.87,33.96,0.0,1.89,3.77,0.0,41.51,0.0
505064,Lužany,225,48.5176332,18.0105539,505064.0,Pellegrini,0.0,0.0,0.0,16.38,31.03,2.59,4.31,2.59,0.0,43.1,0.0
505072,Malá Hradná,411,48.7570218,18.1614029,505072.0,Pellegrini,0.0,0.48,0.0,16.35,36.54,0.48,0.48,2.4,0.48,42.79,0.0
505102,Malé Hoste,409,48.7017721,18.1368093,505102.0,Pellegrini,0.0,0.5,0.0,16.58,19.6,0.0,1.51,1.01,0.5,60.3,0.0
505129,Malé Kršteňany,527,48.6454564,18.4359559,505129.0,Pellegrini,0.0,0.4,0.4,23.2,30.4,0.0,4.0,3.2,0.0,38.4,0.0
505137,Malé Ripňany,545,48.4768407,17.9759025,505137.0,Pellegrini,0.0,0.71,0.0,20.36,22.5,0.0,1.07,1.07,0.0,54.29,0.0
505153,Miezgovce,283,48.716346,18.3209286,505153.0,Pellegrini,0.0,0.71,0.0,15.6,33.33,0.0,0.71,1.42,2.13,45.39,0.71
505170,Nadlice,594,48.6263155,18.2459645,505170.0,Pellegrini,0.0,0.0,0.0,22.22,25.49,0.0,1.96,2.61,0.98,46.73,0.0
505196,Nedanovce,612,48.5869664,18.2944809,505196.0,Pellegrini,0.0,0.96,0.0,14.97,25.48,0.96,0.0,1.91,0.0,55.73,0.0
505200,Nedašovce,435,48.6655577,18.327516,505200.0,Pellegrini,0.0,0.46,0.0,24.54,17.59,1.39,0.46,0.93,0.0,54.63,0.0
505226,Nemečky,309,48.6785428,18.1115783,505226.0,Pellegrini,0.0,0.0,0.0,16.17,22.75,1.2,2.4,1.2,0.0,56.29,0.0
505234,Nitrianska Blatnica,1232,48.5618267,17.9686872,505234.0,Pellegrini,0.35,0.7,0.17,15.18,26.7,0.7,1.05,1.22,0.0,53.93,0.0
505242,Nitrianska Streda,743,48.5103963,18.2018816,505242.0,Pellegrini,0.0,0.0,0.25,18.43,22.73,0.25,3.54,0.51,0.0,54.29,0.0
505251,Norovce,335,48.6333277,18.1759535,505251.0,Pellegrini,0.0,0.0,0.0,14.1,27.56,0.0,1.92,0.0,0.0,56.41,0.0
505277,Omastiná,40,48.7857276,18.4060072,505277.0,Pellegrini,0.0,0.0,0.0,14.81,11.11,7.41,0.0,0.0,0.0,66.67,0.0
505285,Oponice,820,48.4572595,18.1503304,505285.0,Pellegrini,0.0,0.26,0.52,16.41,20.57,0.52,1.3,1.04,0.26,59.11,0.0
505307,Ostratice,776,48.649059,18.2907826,505307.0,Pellegrini,0.0,0.89,0.3,14.58,28.57,2.38,2.08,2.98,0.3,47.62,0.3
505315,Partizánske,21439,48.6357181,18.360438,505315.0,Pellegrini,0.11,0.65,0.02,15.05,35.58,0.52,1.82,1.65,0.1,44.43,0.07
505323,Pažiť,504,48.6241475,18.4505106,505323.0,Pellegrini,0.0,0.0,0.0,16.52,39.73,0.0,2.23,1.34,0.0,40.18,0.0
505331,Pečeňany,521,48.677227,18.2238054,505331.0,Pellegrini,0.0,0.8,0.0,23.69,28.92,2.01,0.4,2.01,0.4,41.77,0.0
505340,Podhradie (TO),283,48.673516,18.0297784,505340.0,Pellegrini,0.0,0.0,0.74,15.44,30.88,0.0,2.21,2.21,0.74,47.79,0.0
505358,Podlužany (BN),934,48.7796307,18.2505869,505358.0,Pellegrini,0.0,0.87,0.0,15.84,34.92,0.43,3.04,0.87,0.0,44.03,0.0
505374,Prašice,2035,48.6600657,18.0938169,505374.0,Pellegrini,0.2,0.2,0.1,12.73,31.77,0.92,1.93,1.53,0.1,50.51,0.0
505382,Pravotice,343,48.6786178,18.2930015,505382.0,Korčok,0.0,1.13,0.0,20.34,39.55,0.0,0.0,2.82,0.56,35.59,0.0
505404,Preseľany,1479,48.4526908,18.0865291,505404.0,Pellegrini,0.15,0.88,0.44,10.67,34.21,0.73,3.07,0.73,0.44,48.68,0.0
505412,Prusy,617,48.7578228,18.2657289,505412.0,Pellegrini,0.66,0.66,0.0,17.16,31.02,0.0,4.29,2.97,0.33,42.9,0.0
505421,Radošina,1889,48.5547132,17.9276867,505421.0,Pellegrini,0.11,0.34,0.11,15.01,36.57,0.56,1.69,2.93,0.11,42.33,0.23
505439,Rajčany,535,48.6155691,18.2315846,505439.0,Pellegrini,0.0,0.0,0.0,21.22,29.39,0.41,2.45,2.04,0.0,44.08,0.41
505447,Ruskovce (BN),519,48.7437717,18.1910406,505447.0,Korčok,0.0,0.69,0.35,12.85,42.36,0.35,1.39,1.74,0.0,40.28,0.0
505455,Rybany,1517,48.669378,18.2599126,505455.0,Pellegrini,0.15,0.89,0.0,16.3,33.48,0.15,0.89,0.89,0.15,46.96,0.15
505463,Skačany,1337,48.6704669,18.3830194,505463.0,Pellegrini,0.0,0.38,0.0,16.73,36.15,0.58,1.15,1.35,0.0,43.46,0.19
505471,Slatina nad Bebravou,452,48.836866,18.2712552,505471.0,Pellegrini,0.0,0.0,0.0,19.2,28.12,0.0,2.68,3.57,0.0,46.43,0.0
505480,Slatinka nad Bebravou,198,48.8640356,18.2586382,505480.0,Pellegrini,0.0,0.0,0.0,19.51,16.26,0.81,3.25,1.63,0.0,58.54,0.0
505498,Solčany,2553,48.520586,18.2255181,505498.0,Pellegrini,0.08,0.31,0.16,17.62,27.8,0.63,1.33,1.33,0.08,50.59,0.08
505510,Súlovce,539,48.4641965,18.1797125,505510.0,Pellegrini,0.0,0.0,0.0,19.01,27.38,0.76,2.28,1.52,0.0,49.05,0.0
505536,Šalgovce,516,48.5320189,17.893871,505536.0,Pellegrini,0.0,0.49,0.0,10.29,33.82,1.96,0.49,0.0,0.0,52.94,0.0
505544,Šípkov,149,48.8600162,18.2978475,505544.0,Pellegrini,0.0,0.0,0.0,12.33,16.44,1.37,5.48,2.74,1.37,60.27,0.0
505552,Šišov,510,48.6590393,18.1795375,505552.0,Pellegrini,0.9,0.45,0.0,17.19,17.19,0.9,2.26,0.9,0.0,60.18,0.0
505561,Tesáre,730,48.6092024,18.0719434,505561.0,Pellegrini,0.0,1.02,0.0,19.59,28.5,0.0,2.54,1.02,0.25,46.82,0.25
505579,Timoradza,504,48.8127751,18.2460755,505579.0,Pellegrini,0.0,0.8,0.0,18.33,27.49,2.79,0.8,3.59,0.0,46.22,0.0
505595,Trebichava,41,48.8259362,18.3113579,505595.0,Pellegrini,0.0,0.0,0.0,9.09,36.36,3.03,6.06,0.0,0.0,45.45,0.0
505617,Tvrdomestice,456,48.6509434,18.1387016,505617.0,Pellegrini,0.0,0.0,0.0,16.92,16.92,0.5,1.49,1.0,0.0,63.18,0.0
505625,Uhrovec,1529,48.7337754,18.3482252,505625.0,Pellegrini,0.13,0.27,0.0,13.85,31.16,1.2,2.8,0.53,0.4,49.53,0.13
505633,Uhrovské Podhradie,39,48.7578421,18.405056,505633.0,Pellegrini,0.0,3.33,0.0,0.0,43.33,0.0,3.33,0.0,0.0,50.0,0.0
505641,Urmince,1402,48.5343017,18.1007376,505641.0,Pellegrini,0.14,0.14,0.0,11.42,31.36,1.16,1.73,1.3,0.29,52.46,0.0
505676,Veľké Dvorany,748,48.5518338,18.074834,505676.0,Pellegrini,0.27,0.53,0.27,15.65,22.55,0.27,1.86,0.27,0.53,57.56,0.27
505684,Veľké Hoste,554,48.6812192,18.1582993,505684.0,Pellegrini,0.0,0.77,0.0,11.97,34.75,0.77,1.54,1.54,0.0,48.26,0.39
505692,Veľké Chlievany,498,48.7054974,18.2147033,505692.0,Pellegrini,0.0,0.42,0.0,16.03,29.54,0.84,0.84,1.69,0.42,49.79,0.42
505706,Veľké Kršteňany,600,48.6620282,18.4267446,505706.0,Pellegrini,0.0,0.0,0.0,23.73,24.58,1.69,0.42,1.69,0.0,47.88,0.0
505714,Veľké Ripňany,2104,48.5050898,17.9625385,505714.0,Pellegrini,0.1,0.52,0.1,15.14,32.15,0.31,1.04,1.98,0.1,48.43,0.1
505722,Veľké Uherce,1990,48.5876878,18.4555133,505722.0,Pellegrini,0.1,0.82,0.1,14.91,35.04,0.51,1.12,2.04,0.0,45.35,0.0
505731,Veľký Klíž,877,48.5407063,18.3911393,505731.0,Pellegrini,0.0,0.0,0.45,13.93,35.06,1.12,0.67,1.12,0.0,47.64,0.0
505749,Velušovce,524,48.6223139,18.1036006,505749.0,Pellegrini,0.0,0.38,0.0,11.92,26.15,0.77,0.77,2.31,0.0,57.69,0.0
505757,Vozokany (TO),351,48.5683975,17.9909662,505757.0,Pellegrini,0.0,0.0,0.0,32.3,25.47,0.62,2.48,1.24,0.0,37.89,0.0
505765,Vysočany,109,48.6843586,18.3224519,505765.0,Pellegrini,0.0,0.0,0.0,22.73,31.82,0.0,0.0,0.0,0.0,45.45,0.0
505773,Závada (TO),596,48.635071,18.0705941,505773.0,Pellegrini,0.0,0.0,0.0,12.55,22.75,0.78,1.96,0.39,0.0,61.57,0.0
505790,Zlatníky,681,48.7252766,18.0640777,505790.0,Pellegrini,0.0,0.0,0.0,15.06,18.07,0.9,1.51,1.81,0.0,62.65,0.0
505803,Žabokreky nad Nitrou,1738,48.6256678,18.3056051,505803.0,Pellegrini,0.27,0.67,0.0,10.86,35.52,0.27,2.01,2.68,0.13,47.59,0.0
505811,Žitná-Radiša,448,48.7774759,18.3491817,505811.0,Korčok,0.0,0.0,0.0,11.16,44.63,1.65,1.24,2.89,0.0,38.43,0.0
505820,Trenčín,54740,48.8962613,18.0473111,505820.0,Korčok,0.05,0.74,0.11,10.25,52.17,0.44,2.49,1.75,0.08,31.86,0.06
505838,Adamovské Kochanovce,872,48.8636106,17.9165254,505838.0,Pellegrini,0.0,1.12,0.0,10.94,38.39,1.12,2.46,1.56,0.0,44.2,0.22
505846,Beckov,1436,48.7861332,17.9092112,505846.0,Korčok,0.27,1.77,0.27,10.05,44.57,0.27,2.58,0.82,0.0,39.27,0.14
505854,Bobot,745,48.8267133,18.2029138,505854.0,Pellegrini,0.28,1.4,0.0,15.73,33.15,0.56,1.12,2.53,0.28,44.94,0.0
505871,Bošáca,1360,48.8433159,17.8359903,505871.0,Korčok,0.16,0.94,0.16,14.42,43.1,0.31,1.72,0.78,0.0,38.4,0.0
505889,Brunovce,593,48.6789029,17.849926,505889.0,Korčok,0.0,0.68,0.0,15.02,40.96,2.73,2.05,2.39,0.0,35.84,0.34
505897,Bzince pod Javorinou,2051,48.8063704,17.7502245,505897.0,Pellegrini,0.11,0.85,0.0,15.0,32.45,1.38,2.02,2.02,0.11,46.06,0.0
505901,Čachtice,3703,48.7143168,17.7872117,505901.0,Pellegrini,0.18,0.49,0.06,12.46,35.54,0.49,1.72,2.58,0.18,46.1,0.18
505919,Častkovce,1639,48.6869602,17.7724493,505919.0,Pellegrini,0.27,0.27,0.14,14.07,39.34,0.68,1.64,1.91,0.0,41.39,0.27
505935,Dolná Poruba,791,48.9031369,18.2929495,505935.0,Pellegrini,0.0,0.0,0.0,14.84,21.43,0.27,1.1,1.37,0.0,60.99,0.0
505943,Dolná Súča,3059,48.9651097,18.0202485,505943.0,Pellegrini,0.14,1.11,0.14,11.0,37.76,0.21,2.01,1.87,0.28,45.44,0.07
505951,Dolné Srnie,992,48.7953301,17.8187014,505951.0,Pellegrini,0.22,0.0,0.0,14.73,37.58,0.44,2.86,1.54,0.44,41.98,0.22
505960,Drietoma,2233,48.9214757,17.9305426,505960.0,Pellegrini,0.2,1.08,0.0,12.19,36.77,0.39,1.28,2.26,0.1,45.33,0.39
505978,Dubodiel,971,48.7610995,18.088748,505978.0,Korčok,0.0,2.2,0.17,10.17,44.07,0.34,2.37,1.69,0.34,38.64,0.0
505994,Hôrka nad Váhom,774,48.7124704,17.9411304,505994.0,Pellegrini,0.0,0.87,0.29,7.58,41.98,1.17,1.75,0.58,0.0,45.77,0.0
506001,Horná Streda,1384,48.6561686,17.848661,506001.0,Pellegrini,0.3,0.15,0.0,13.62,40.27,1.2,1.65,1.35,0.0,41.47,0.0
506010,Horná Súča,3301,48.9872235,17.9579409,506010.0,Pellegrini,0.47,1.14,0.07,15.25,32.24,0.87,2.14,2.34,0.07,45.22,0.2
506028,Horňany,429,48.7832046,18.20185,506028.0,Korčok,0.0,0.53,0.0,12.77,43.62,1.06,3.19,2.13,0.53,36.17,0.0
506036,Horné Srnie,2707,49.0162213,18.076612,506036.0,Pellegrini,0.38,0.69,0.08,15.2,33.84,0.46,1.38,1.68,0.31,45.84,0.15
506044,Hrabovka,427,48.9352187,18.0320061,506044.0,Korčok,0.0,2.65,0.0,22.12,33.19,0.44,6.19,2.21,0.44,32.74,0.0
506052,Hrádok,737,48.6921058,17.9326844,506052.0,Pellegrini,0.0,0.56,0.0,7.84,38.66,0.56,2.24,1.12,0.0,49.02,0.0
506061,Hrachovište,676,48.7125891,17.723574,506061.0,Pellegrini,0.38,0.0,0.0,9.58,27.97,2.3,2.68,3.07,0.38,53.26,0.38
506079,Hrašné,481,48.7511981,17.6688132,506079.0,Pellegrini,0.43,0.43,0.43,12.77,40.0,0.85,2.98,0.85,0.0,40.85,0.43
506087,Chocholná-Velčice,1695,48.8934217,17.901265,506087.0,Pellegrini,0.0,0.9,0.11,11.65,35.5,0.22,2.8,1.23,0.0,47.59,0.0
506095,Ivanovce,1032,48.8291812,17.8998952,506095.0,Pellegrini,0.0,0.63,0.0,14.44,38.49,0.42,1.67,1.05,0.0,43.1,0.21
506109,Kálnica,1024,48.7494502,17.9581069,506109.0,Korčok,0.0,0.2,0.0,13.28,49.22,0.59,1.17,2.93,0.0,32.62,0.0
506125,Kočovce,1631,48.7483411,17.8892972,506125.0,Pellegrini,0.34,1.13,0.11,13.27,38.44,0.79,1.81,1.25,0.23,42.52,0.11
506133,Kostolná-Záriečie,691,48.8779805,17.9701945,506133.0,Pellegrini,0.0,1.34,0.0,9.65,35.92,0.27,0.27,1.07,0.27,50.94,0.27
506141,Kostolné,598,48.7334269,17.6874613,506141.0,Pellegrini,0.0,0.0,0.0,21.38,25.17,0.69,4.14,1.03,1.38,46.21,0.0
506150,Krajné,1434,48.7040832,17.6673427,506150.0,Pellegrini,0.0,0.15,0.0,11.84,37.28,0.58,6.29,1.75,0.0,41.96,0.15
506168,Krivosúd-Bodovka,358,48.8111309,17.9445433,506168.0,Korčok,0.0,1.6,0.0,12.3,42.78,1.07,4.81,0.53,0.0,36.9,0.0
506184,Lubina,1444,48.8156729,17.7068043,506184.0,Korčok,0.14,1.53,0.0,11.53,44.44,0.56,2.36,2.5,0.14,36.81,0.0
506206,Lúka,701,48.6682857,17.905614,506206.0,Pellegrini,0.0,1.06,0.0,15.57,35.62,0.53,1.85,1.32,0.26,43.8,0.0
506231,Mníchova Lehota,1221,48.8247819,18.0691873,506231.0,Korčok,0.17,0.69,0.0,11.09,40.55,1.04,2.43,3.12,0.17,40.55,0.17
506249,Modrová,476,48.6366812,17.9148716,506249.0,Pellegrini,0.4,0.4,0.0,19.28,27.31,2.81,3.61,5.62,0.0,40.56,0.0
506257,Modrovka,203,48.6458581,17.8774604,506257.0,Pellegrini,0.0,0.91,0.0,14.55,27.27,0.91,10.0,1.82,0.0,44.55,0.0
506265,Moravské Lieskové,2539,48.8426437,17.7696189,506265.0,Pellegrini,0.08,0.32,0.16,13.24,35.35,1.61,2.99,2.34,0.16,43.5,0.24
506273,Motešice,782,48.8433439,18.1787298,506273.0,Pellegrini,0.0,0.25,0.0,13.27,39.07,1.23,2.7,3.69,0.0,39.8,0.0
506281,Nemšová,6335,48.9766168,18.0774439,506281.0,Korčok,0.1,1.15,0.0,12.74,44.16,0.4,2.47,2.77,0.23,35.99,0.0
506290,Neporadza (TN),783,48.8296198,18.1469855,506290.0,Korčok,0.0,1.03,0.26,10.85,42.89,0.78,1.29,2.07,0.0,40.31,0.52
506303,Nová Bošáca,1027,48.8959249,17.7964361,506303.0,Pellegrini,0.2,1.43,0.0,12.63,30.75,0.81,3.87,2.24,0.41,47.66,0.0
506311,Nová Lehota,207,48.6502376,17.9917925,506311.0,Pellegrini,0.0,0.82,0.0,13.93,29.51,0.0,1.64,1.64,0.0,52.46,0.0
506338,Nové Mesto nad Váhom,19644,48.7560579,17.8225919,506338.0,Korčok,0.07,0.67,0.03,12.31,45.32,0.55,2.27,1.91,0.15,36.61,0.11
506346,Očkov,472,48.6549381,17.7551745,506346.0,Pellegrini,0.0,0.0,0.0,23.31,24.58,0.0,2.97,2.54,0.0,46.61,0.0
506354,Omšenie,1885,48.8961895,18.2212019,506354.0,Pellegrini,0.0,0.23,0.12,18.05,19.7,0.7,1.41,0.82,0.12,58.73,0.12
506371,Opatovce,425,48.8634435,17.9748486,506371.0,Korčok,0.0,0.0,0.0,10.23,50.7,0.93,1.4,5.12,0.0,31.63,0.0
506401,Pobedim,1158,48.6534249,17.807574,506401.0,Pellegrini,0.0,1.44,0.21,10.72,36.7,0.82,0.62,1.86,0.21,47.22,0.21
506419,Podkylava,230,48.6797479,17.650773,506419.0,Korčok,0.0,0.0,0.0,16.98,44.03,0.63,3.77,1.26,0.0,33.33,0.0
506427,Podolie,1914,48.6722854,17.7613756,506427.0,Pellegrini,0.12,1.19,0.12,15.04,37.47,2.03,2.15,2.03,0.12,39.74,0.0
506435,Potvorice,681,48.690262,17.8532519,506435.0,Pellegrini,0.0,0.59,0.0,10.88,35.0,0.0,2.94,2.06,0.29,48.24,0.0
506443,Považany,1236,48.7092926,17.8488315,506443.0,Pellegrini,0.36,0.72,0.18,12.79,38.56,0.72,3.24,2.7,0.0,40.36,0.36
506478,Selec,1007,48.7770812,18.0003105,506478.0,Pellegrini,0.0,0.42,0.0,14.44,33.33,0.0,2.97,1.91,0.42,46.28,0.21
506508,Soblahov,2408,48.8595816,18.0936612,506508.0,Korčok,0.09,0.62,0.09,8.92,48.94,0.71,1.86,1.59,0.09,37.1,0.0
506516,Stará Lehota,175,48.6420675,17.9572422,506516.0,Pellegrini,0.0,1.03,0.0,15.46,29.9,1.03,1.03,4.12,0.0,47.42,0.0
506524,Stará Turá,8724,48.802126,17.6611437,506524.0,Korčok,0.1,0.52,0.05,11.62,43.98,0.67,2.74,1.5,0.17,38.51,0.12
506532,Svinná,1591,48.7877858,18.1604959,506532.0,Korčok,0.26,0.39,0.0,13.52,42.13,0.39,3.15,2.49,0.13,37.01,0.52
506541,Štvrtok,424,48.817334,17.8810459,506541.0,Korčok,0.46,0.0,0.0,8.8,49.54,0.0,0.0,0.0,0.0,40.74,0.46
506559,Trenčianska Teplá,4222,48.9297261,18.1180789,506559.0,Pellegrini,0.15,0.67,0.1,16.68,37.92,0.97,2.51,1.44,0.05,39.4,0.1
